Key,Translation,Version,Comment (context for translators)
<Gamepad>,Gamepad,,Used in input settings when showing bindings for Gamepad (controller) 
<Keyboard>,Toetsenbord,,Used in input settings when showing bindings for Keyboard 
<Mouse>,Muis,,Used in input settings when showing bindings for Mouse
abort,Afbreken,,"Text on a button that would abort some ongoing operation. It is different from ""cancel"" since something can be cancelled before it starts, but aborting implies that operation has already begun."
aborting.expedition.died,Expeditie geannuleerd. Teamlid {0} overleden voor betreden van the shuttle.,,{0} will be replaced with a name
aborting.expedition.target.too.far,Expeditie geannuleerd. We zijn te ver van onze bestemming {0}.,,{0} will be replaced with a destination name (i.e. planet name)
about,Over,,"""About"" menu item name. Also could be used as a button label."
about.mods,Over Mods,,"""Mods"" in this context is game modifications, or expansions. "
about.wallet,Hoe Geld Verkrijgen,,
about.wallet.desc,Valuta’s kunnen ontgonnen worden na installatie van upgrades op uw Schip Computer of compatibele mijnapparaten. Je kunt ook geld verzamelen via handel in goederen of aandelen.,2022-03-19,
achievement.AsimovOverride,Schurk AI,,"AI here is short for Artificial Intelligence. Rogue AI is something like Skynet in Terminator movie, or the AI that enslaved humans in The Elysium movie."
achievement.AsimovOverride.desc,Installer de Schurk AI Module,,"Asimov is Isaac Asimov, a famous sci-fi writer who created the ""three laws of robotics"""
achievement.Breached,Geënterd,,"This is past tense of verb ""to breach"", meaning: make a gap in and break through (a wall, barrier, or defence)."
achievement.Breached.desc,Geënterd worden door overvallers met een Breukcapsule,,"""boarded"" as in ""the act of passengers and crew getting aboard a ship or aircraft"". Raiders are a pirates, ""Breach Capsule"" is a small pirate space ship that attaches to your ship and breaches through the hull to attack you."
achievement.CatRidingCleaningBot,Plezierrit,,"""joy ride"" is an English idiom for ""a fast and dangerous ride in a stolen vehicle."""
achievement.CatRidingCleaningBot.desc,Laat een Kat op een Poetsrobot rijden,,"There are viral videos on youtube showing cats riding roombas (cleaning robots), example: https://www.youtube.com/watch?v=SajTWY9a0e0"
achievement.CloneHuman,Ik Weet Wie Ik Ben,,
achievement.CloneHuman.desc,Kloon een Mens,,
achievement.Colonize,Het Einde,,
achievement.Colonize.desc,Maak een kolonie op een bewoonbare planeet,,
achievement.CPUDestroyed,Ik Kom Terug,,"this is a reference to ""The Terminator"" movie. Scene: https://www.youtube.com/watch?v=tYc2jQaM8gM"
achievement.CPUDestroyed.desc,Verlies je scheepscomputer,,"""lose"" here means getting your ship computer destroyed"
achievement.CrawlerAttach,Gratis Knuffels,,
achievement.CrawlerAttach.desc,Laat een Crawler zich vasthechten aan een menselijke kolonist,,
achievement.CrawlerUber,Crawler Taxi,,
achievement.CrawlerUber.desc,Breng een Crawler mee terug van een mijnexpeditie,,
achievement.Crypto,Crypto Guru,,
achievement.Crypto.desc,Installeer een Starcreds mijnuitbreiding in uw Scheepscomputer,,
achievement.date,Vrijgespeeld op: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,Dit Was Hier niet Voorheen,,
achievement.DiscoverEgg.desc,Ontdek een Ei op uw schip,,
achievement.DiscoverTerraformable,Gevonden,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,Ontdek een terravormbare planeet,,
achievement.Elysium,Elysium,,
achievement.Elysium.desc,Vorm uw Statis Kamers om naar een Elysium,,
achievement.FirstContact,Eerste Contact,,
achievement.FirstContact.desc,Ontmoet een andere factie,,
achievement.FirstCup,Het Kopje in de Ochtend,,
achievement.FirstCup.desc,Laat iemand koffie drinken,,
achievement.HatchCrawlers,Niet Date Soort Geboorte,,
achievement.HatchCrawlers.desc,Laat Crawler groeien in een kolonist,,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"Verzamel 100,000 Starcreds",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"Verzamel 1,000,000 Starcreds",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"Verzamel 10,000,000 Starcreds",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"Verzamel 100,000,000 Starcreds",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"Verzamel 1,000,000,000 Starcreds",,
achievement.OnePiece,Eén Stuk,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,Verbind de secties van het vernielde schip tot één stuk,,
achievement.StasisDestroyed,Geen Hoop Meer,,
achievement.StasisDestroyed.desc,Heb uw Stasis Kamers vernietigd,,
achievement.StockMarketLoss,Eén Van Ons,,
achievement.StockMarketLoss.desc,Verkkop een aandeel met $100K verlies op de Beurs,,
achievement.TerraformAtmosphere,Terravorm Atmosfeer,,
achievement.TerraformAtmosphere.desc,Creëer een atmosfeer op een planeet,,
achievement.TerraformBiosphere,Terravorm Biosfeer,,
achievement.TerraformBiosphere.desc,Creëer een biosfeer op een planeet,,
achievement.TerraformOceans,Terravorm Oceanen,,
achievement.TerraformOceans.desc,Creëer oceanen en rivieren op een planeet,,
achievement.TerraformTerrain,Terravorm Terrein,,
achievement.TerraformTerrain.desc,Creëer terrein en continenten op een planeet,,
achievement.unlocked,Prestatie Vrijgespeeld: {0},,
achievement.VoidRipper,Leegte Rijter,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,Ga doorheen een Zwart Gat,,
achievement.WeaponizedCleaningBot,De Terminator,,
achievement.WeaponizedCleaningBot.desc,Bewapen een poets-bot,,
achievement.Winch,Lier,,
achievement.Winch.desc,Verenig twee secties van het schip,,
achievements,Prestaties,,
achievements.disabled,Prestaties Uitgeschakeld,,
achievements.stat,Prestaties [{0}/{1}],,
act.AnimalEat,Eten,,
act.BotDock,Dok,,
act.BreakdownDeconstruct,Zaken vernietigen,,
act.BreakdownStartFire,Brand stichten,,
act.BreakdownInsanity,Gek worden,,
act.BreakdownRoamAround,Rondzwerven,,
act.BreakdownSpaceDiarrhea,Ruimtediarree,,
act.BringResourcesAndConstruct,Bouwen,,
act.CatchTarget,Iemand achtervolgen,,
act.Clean,Poetsen,,
act.CleanDevice,Apparaat poetsen,,
act.CleanFloors,Vloer poetsen,,
act.CleanSolarPanel,Zonnepaneel poetsen,,
act.Construct,Bouwen,,
act.CrawlerAttached,Proberen wezen los te krijgen,,
act.Deconstruct,Afbreken,,
act.Disassemble,Ontmantelen,,
act.Drink,Drinken,,
act.Eat,Eten,,
act.EnterShuttle,Instappen in shuttle,,
act.FindBodyClothing,Kleden,,
act.FindHeadgear,Hoofddeksel zoeken,,
act.FindHumanPrey,Prooi zoeken,,
act.FindInstallableObject,Zoeken naar installeerbaar object,,
act.Firefight,Vuurbestrijding,,
act.GatherRawMaterials,Materialen verzamelen,,
act.GatherUnstoredRawMaterials,Materiaalhopen ophalen,,
act.HarvestPlant,Planten oogsten,,
act.HaulRawMaterials,Materialen ophalen,,
act.HaulToNutrientExtractor,Ophalen naar Nutrient Extractor,,
act.HaulUnstoredItem,Object ophalen naar opslag,,
act.Heal,Genezen,,
act.Install,Installeer object,,
act.InstallUpgrade,Installeer een upgrade,,
act.MLTrain,Doe Machine Learning,,
act.MoveNextToObject,Verplaats naar doel,,
act.MoveNextToPos,Verplaats naar positie,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,Verplaats object,,
act.MoveToOrNextToPos,Verplaats naar positie,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,Verplaats naar positie,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,Verplaats naar een veilige plaats,,
act.MoveToWorkSpot,Ga naar werkplaats,,
act.None,Niets doen,,
act.Noop,Stationair,,
act.OperateDevice,Apparatat bedienen,,
act.Panic,Panikeren,,
act.Pet,Dier aaien,,
act.PlaceUnconstructed,Constructie bestellen,,
act.Process,Verwerking,,
act.ProcessStoredMat,Verwerken Opgeslagen Materiaal,,
act.ProvideTempGrid,Tijdelijke Connectie Bieden,,
act.Recharge,Herladen,,
act.RefillPetBowl,Dierenbak bijvullen,,
act.Relocate,Object Verplaatsen,,
act.Repair,Schade Herstellen,,
act.ReplaceTile,Object Vervangen,,
act.RescueInSpace,Wezen redden uit de open ruimte,,
act.researching,Onderzoeken,,
act.Ride,Rijden,,
act.Roam,Rondzwerven,,
act.Sleep,Gaan Slapen,,
act.Socialize,Socialiseren,,
act.StartFire,Brand Stichten,,
act.StoreItem,Object opslaan,,
act.StoreMat,Materialen naar opslag halen,,
act.StoreRawMaterials,Materialen opslaan,,
act.Uninstall,Object verwijderen,,
act.UseFoodConsumptionSpot,Eten,,
act.UseShower,Douchen,,
act.UseToilet,Toilet gebruiken,,
act.Vent,Afreageren,,"Verb, when someone is expressing anger, etc"
act.Wait,Wachten,,
act.WaitForMaintenance,Onderhoud krijgen,,
act.WaitForRecharge,Herladen,,
act.Workout,Trainen,,
action.extract_nutrients,Extraheer Nutriënten,,
action.process,Verwerken,,
action.required,Actie Vereist,,
action.store,Ophalen naar Opslag Container,,
action.store.item,Ophalen naar Object Opslag,,
action.unavailable,Actie Niet Beschikbaar,,
actions.available,Beschikbare Acties: {0},,
activate,Activeer ,,
activate.siren,Activeer Sirene,,
active,Actief,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
active.orders,Actieve Opdrachten,,
active.orders.info,Het totale aantal actieve taken is gelimiteerd door het <b>Gebeugen</b>. Bouw nieuwe <b>Geheugen Modules</b> om de limiet te verhogen.<br><br>Van zodra de limiet bereikt is kun je geen nieuwe manuele taken maken.,2023-09-15,
ad.rej.cancelled,Taak werd geannuleerd,,
ad.rej.construction.site.obstructed,Bouwplaats belemmerd,,
ad.rej.could.not.reserve,Kan object niet reserveren,,
ad.rej.dock.not.available,Dok niet beschikbaar,,
ad.rej.emergency.siren,Werker was afgeleid door Sirene,,
ad.rej.interrupted,Onderbroken,,
ad.rej.lacking.bed,Kan geen bed vinden,,
ad.rej.lacking.body.clothing,Kan geen kleding vinden,,
ad.rej.lacking.drink,Geen drank beschikbaar,,
ad.rej.lacking.edible,Geen voedsel beschikbaar,,
ad.rej.lacking.healer,Geen genezend apparaat,,
ad.rej.lacking.mat,Ontbrekende materialen,,
ad.rej.lacking.shower,Geen douche,,
ad.rej.lacking.skill,Ontbrekende materialen,,
ad.rej.lacking.toilet,Geen douche,,
ad.rej.lacking.workout.equipment,Ontbrekende Traintoestellen,,
ad.rej.nav.fail.flying,"Vliegend wezen faalde in een pad naar de bestemming. Controleer of alle deuren aangesloten zijn op het net en niet afgesloten, of dat de werker niet door muren buitengesloten is.",,
ad.rej.nav.fail.grounded,"Grondwezen faalde in een pad naar de bestemming. Controleer of alle deuren aangesloten zijn op het net en niet afgesloten, of dat de werker niet door muren buitengesloten is.",,
ad.rej.no.flying.worker,"Voor deze taak is vliegen vereist, maar er zijn geen werknemers met vliegvaardigheden.",,
ad.rej.no.nutrient.extractor,Nutriënt Extractor niet beschikbaar,,
ad.rej.no.priority,De werker had 0 prioriteit voor dit type van taak,,
ad.rej.no.processor,Verwerker niet beschikbaar,,
ad.rej.no.storage,Opslag Container niet beschikbaar,,
ad.rej.no.worker.can.level.up.enough,,,
ad.rej.no.worker.with.skill,,2022-11-19,
ad.rej.no.workers,,,
ad.rej.processable.not.available,,,
ad.rej.processor.queue.full,,,
ad.rej.taking.damage,,,
ad.rej.target.unavailable,,,
ad.rej.undefined,,,
ad.rej.unreachable,,,
ad.rej.unreachable.item,,,
ad.rej.unreachable.mat.flying,,,
ad.rej.unreachable.mat.grounded,,,
ad.rej.unsafe,Onveilige condities,,
ad.rej.unsafe.for.skilled,"De werker die in staat is om deze taak uit te voeren, heeft geen veilige condities op de werkplek. Waarschijnljk kan enkel een mens dit bouwen.",,
ad.rej.urgent.need,,,
ad.rej.worker.offline,,,
add,Toevoegen,,
add.log.entry,,,
add.to.queue,Voeg toe aan Lijst,,
advanced,Geavanceerd,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function"
advert.cancel,Annuleer {0},,
advert.priority,Taak Prioriteit: {0},,
advert.priority.down,Verlaag Prioriteit,,
advert.priority.up,Verhoog Prioriteit,,
advert.reject.info,Taak verworpen <i>[{0}]</i>: {1} – {2},,
advert.rejected,Verworpen,,
advert.retry,Probeer Taak Opnieuw,,
advert.task,Taak <i>[{0}]</i>: {1},,
aesthetics,,,
aesthetics.at,,,
after.settle,,,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,Leeftijd,,
airtightness.at,Luchtdichtheid op {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
all.time,Alles,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,Alleen,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,Veel Te Helder,,Ambient light option when everything will be very bright
amb.color.dark,,,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,,,Somewhat dark ambient light option that still has good visibility
amb.color.mid,,,"Medium ambient light option, between bright and dark"
ammo,Munitie,,
ammo.bar,,,
ammo.type,Munitie Type: {0},,
amount.left,,,
animated.bg,,,
anomalies,,,
anomalies.info,,,
apply,Toepassen,,
area.size,Afmetingen {0},,
arriving.soon,Arriveren: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.
asimov.violation.1,,,
asimov.violation.3,,,
assemble,,,
assembling.now,,,"1. This is a text in UI of the Crafting Station/Assembler/Fabricator.
It combined with the name of the device which is produced right now (like ""Assembling Microchip"")
2. This is a tooltip text, appearing when you hover a mouse over Crafting Station/Assembler/Fabricator.
It combined with the state of production process in percents (like ""Assembling 85%"")"
assigned.to.selected.worker,,,
assigned.to.worker,,,
assigned.worker,,,
asteroid,Asteroïde,,
asteroid.avoided,,,
asteroid.impact,,,
asteroid.incoming,,,
ate.at.makeshift.table,,,
ate.at.table,Gegeten aan een tafel,,
ate.from.a.bowl,Gegeten uit een bakje,,
ate.without.bowl,Gegeten zonder een bakje,,
ate.without.table,Gegeten zonder tafel,,
attachment.Friendship,Vriendschap,,
attachment.Friendship.about,,,
attachment.PersonBed,Bed,,
attachment.PersonBed.about,,,
attachment.PetBed,,,
attachment.PetBed.about,,,
attention,,,
